PLA_CODE;SMP_DB_REAL;SMP_DE_REAL;SMP_D_ANALYSIS;POL_CODE;MEA_CODE;MEA_PHYSICAL_UNIT;MEA_VALUE;MEA_F_STATUS;JOB_TYPE;
"HBX04A";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Ni";"PM@Ni";"ug/m2*jour";"4.52170418006431";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Pb";"PM@Pb";"ug/m2*jour";"5.02411575562701";"A";"DATA_VALIDATE_TECH";
"HBX04A";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Zn";"PM@Zn";"ug/m2*jour";"83.149115755627";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"PM";"PM";"g/m2*jour";"0.105649977032612";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"As";"PM@As";"ug/m2*jour";"0.976113918236105";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cd";"PM@Cd";"ug/m2*jour";"0.155029857602205";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cr";"PM@Cr";"ug/m2*jour";"24.1157556270096";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Ni";"PM@Ni";"ug/m2*jour";"8.03858520900321";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Pb";"PM@Pb";"ug/m2*jour";"6.60312356453835";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"PM";"PM";"g/m2*jour";"6.03429796355844E-02";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"As";"PM@As";"ug/m2*jour";"0.616291532690246";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cd";"PM@Cd";"ug/m2*jour";"9.11039657020364E-02";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cr";"PM@Cr";"ug/m2*jour";"108.520900321543";"A";"DATA_VALIDATE_TECH";
