"Réseau";"Sous-réseau";"Code station (interne)";"Adr.N°";"Adr.Rue";"Adr.Localité";"LUREF X";"LUREF Y"
"Bergerhoff";"Esch-Alzette";"HES30";"";"Rue des mines";"Esch/Alzette";"66096";"61440";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES31";"44";"Rue des Franciscains";"Esch/Alzette";"65776";"62856";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES32";"77";"Rue de l'Usine";"Esch/Alzette";"65831";"62567";"";"";"";"";"";"";
"Bergerhoff";"Esch-Alzette";"HES33";"11";"Rue Pasteur (Direction Théâtre municipal)";"Esch/Alzette";"66195";"62067";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud I";"HLSI01";"65";"Rue de la Résistance";"Bascharage";"60713";"70657";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud I";"HLSI02";"1";"Rue de Bascharage";"Clémency";"58981";"73277";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud I";"HLSI03";"2";"Cité Radelsbësch";"Bergem";"71316";"65176";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud I";"HLSI04";"15";"Rue Jacquinot";"Bettembourg";"75409";"64382";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud II";"HLSII01";"62";"Rue de Mondercange";"Ehlerange";"65920";"65637";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud II";"HLSII02";"28";"Rue du Kiemel";"Mondercange";"66550";"65821";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud II";"HLSII03";"19";"Rue des Champs";"Mondercange";"67072";"65832";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud II";"HLSII04";"23";"Rue J.B. Bichler";"Foetz";"68060";"65717";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud II";"HLSII04A";"49";"Rue J.B. Bichler";"Foetz";"67869";"65864";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII05";"";"Zone Industrielle";"Foetz";"68810";"65013";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII05A";"";"Rue de Hédange";"Schifflange";"68535";"64059";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII06";"9";"Cité E.Mayrisch";"Schifflange";"67896";"63364";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII06A";"24";"Cité "Um Benn" ";"Schifflange";"67937";"63402";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII06B";"12";"Cité "Um Benn"";"Schifflange";"67874";"63455";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII07";"";"Cité E.Mayrisch";"Schifflange";"68387";"63536";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII08";"15";"rue Belle- Vue ";"Schifflange";"68068";"63241";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII08A";"38";"rue de l' Industrie";"Schifflange";"67889";"63072";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud II";"HLSII09";"16";"Rue des Champs";"Soleuvre";"63352";"65923";"";"";"";"";"";"";
"Bergerhoff";"Ligne Sud II";"HLSII10";"36";"Rue E.Mayrisch";"Soleuvre";"62807";"65266";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII11";"89A";"Rue de Hédange";"Schifflange";"68561";"64318";"";"";"";"";"";"";
"Bergerhoff";"Schifflange";"HLSII12";"15";"Rue du Brill";"Foetz";"68603";"64967";"";"";"";"";"";"";
"Bergerhoff";"Rodange";"HRO01";"5";"à la Siole";"Rodange";"55168";"67655";"";"";"";"";"";"";
"Bergerhoff";"Rodange";"HRO02";"327";"rue du Clopp";"Rodange";"54961";"67470";"";"";"";"";"";"";
"Bergerhoff";"Rodange";"HRO03";"485";"route de Longwy";"Rodange";"54659";"67617";"";"";"";"";"";"";
"Bergerhoff";"Rodange";"HRO04";"9";"rue Terre noire";"Rodange";"54959";"67936";"";"";"";"";"";"";
"Bergerhoff";"Rodange";"HRO05";"446";"route de Longwy";"Rodange";"54441";"67498";"";"";"";"";"";"";
"Bergerhoff";"Rodange";"HRO06";"179";"route de Longwy";"Rodange";"55614";"68173";"";"";"";"";"";"";
"Bergerhoff";"Rumelange";"HRU01";"153";"route d'Esch";"Rumelange";"68974";"58714";"";"";"";"";"";"";
"Bergerhoff";"Rumelange";"HRU02";"181";"route d'Esch";"Rumelange";"68880";"58786";"";"";"";"";"";"";
